Data_as_of,DCF Region,DCF Office,Demographic,SFY,TOTAL_ENTRY,FOSTER_CARE,RELATIVE_CARE,SPECIAL_STUDY,THERAPEUTIC_FOSTER_CARE,PDC_SAFE_HOME,SHELTER,GROUP_HOME,RESIDENTIAL,DCF_HIGHMEADOWS,DCF_SOLNIT,DCF_CJTS,HOSPITAL,INDEPENDENT_LIVING,Demographic_Type
8/6/2015,Other,Other,BLACK,2005,77,3,2,0,0,2,0,1,45,0,1,23,0,0,Race
8/6/2015,Other,Other,HISPANIC,2005,70,6,0,0,0,1,0,2,41,0,2,18,0,0,Race
8/6/2015,Other,Other,OTHER,2005,23,0,0,0,0,0,0,0,21,0,0,2,0,0,Race
8/6/2015,Other,Other,WHITE,2005,61,2,5,0,0,1,0,4,40,0,1,8,0,0,Race
8/6/2015,Region 1,Bridgeport Office,BLACK,2005,126,64,12,1,3,19,11,2,10,2,0,1,1,0,Race
8/6/2015,Region 1,Bridgeport Office,HISPANIC,2005,105,54,21,1,1,15,2,2,6,0,0,2,0,1,Race
8/6/2015,Region 1,Bridgeport Office,OTHER,2005,12,6,0,1,1,3,1,0,0,0,0,0,0,0,Race
8/6/2015,Region 1,Bridgeport Office,WHITE,2005,53,22,3,0,1,12,3,1,9,0,2,0,0,0,Race
8/6/2015,Region 1,Norwalk Office,BLACK,2005,27,6,10,1,1,4,1,0,4,0,0,0,0,0,Race
8/6/2015,Region 1,Norwalk Office,HISPANIC,2005,20,7,7,0,0,1,1,1,3,0,0,0,0,0,Race
8/6/2015,Region 1,Norwalk Office,OTHER,2005,4,2,0,0,0,2,0,0,0,0,0,0,0,0,Race
8/6/2015,Region 1,Norwalk Office,WHITE,2005,15,3,3,3,0,0,3,0,2,1,0,0,0,0,Race
8/6/2015,Region 1,Stamford Office,BLACK,2005,29,7,3,0,1,12,3,0,2,0,0,0,1,0,Race
8/6/2015,Region 1,Stamford Office,HISPANIC,2005,17,10,3,0,0,1,1,1,1,0,0,0,0,0,Race
8/6/2015,Region 1,Stamford Office,OTHER,2005,4,1,0,0,0,2,1,0,0,0,0,0,0,0,Race
